gene_id	geneT_id	chr.num	start	end	strand	seq.ln	pfam.sigAcc	pfam.desc	pfam.start	pfam.end	pfam.eval	pfam.iprAcc	pfam.iprAnn	pfam.go	pfam.pthAnn	pant.sigAcc	pant.desc	pant.start	pant.end	pant.eval	pant.iprAcc	pant.iprAnn	pant.go	pant.pthAnn	sfam.sigAcc	sfam.desc	sfam.start	sfam.end	sfam.eval	sfam.iprAcc	sfam.iprAnn	sfam.go	sfam.pthAnn	cdd.sigAcc	cdd.desc	cdd.start	cdd.end	cdd.eval	cdd.iprAcc	cdd.iprAnn	cdd.go	cdd.pthAnn	g3d.sigAcc	g3d.desc	g3d.start	g3d.end	g3d.eval	g3d.iprAcc	g3d.iprAnn	g3d.go	g3d.pthAnn
Ecl_000017	Ecl_000017-T1	Ecl_1605_22_1	223085	224155	+	303	PF00069	Protein kinase domain	10	221	2.4e-24	IPR000719	Protein kinase domain	GO:0004672|GO:0005524|GO:0006468	NA	PTHR11909	CASEIN KINASE-RELATED	8	293	7.2e-104	NA	NA	NA	NA	SSF56112	Protein kinase-like (PK-like)	5	286	4.32e-71	IPR011009	Protein kinase-like domain superfamily	NA	NA	cd14016	STKc_CK1	9	269	3.3e-151	NA	NA	NA	NA	G3DSA:1.10.510.10	Transferase(Phosphotransferase) domain 1	1	303	1.4e-94	NA	NA	NA	NA
Ecl_000018	Ecl_000018-T1	Ecl_1605_22_1	225504	229948	-	1359	PF00704	Glycosyl hydrolases family 18	567	885	5.5e-46	IPR001223	Glycoside hydrolase family 18, catalytic domain	GO:0005975	NA	PTHR47700:SF2	-	340	1336	0	NA	NA	NA	NA	SSF51445	(Trans)glycosidases	557	913	8.32e-63	IPR017853	Glycoside hydrolase superfamily	NA	NA	cd02878	GH18_zymocin_alpha	565	911	0	NA	NA	NA	NA	G3DSA:3.20.20.80	Glycosidases	568	911	6.1e-84	NA	NA	NA	NA
Ecl_000021	Ecl_000021-T1	Ecl_1605_22_1	235496	237267	+	480	PF01476	LysM domain	239	276	1.2e-05	IPR018392	LysM domain	NA	NA	PTHR34997	-	15	239	4.9e-118	NA	NA	NA	NA	SSF54106	LysM domain	235	285	1.83e-08	NA	NA	NA	NA	cd00118	LysM	237	282	5.55e-11	IPR018392	LysM domain	NA	NA	G3DSA:3.10.350.10	-	235	285	1.7e-16	IPR036779	LysM domain superfamily	NA	NA
Ecl_000024	Ecl_000024-T1	Ecl_1605_22_1	441234	441740	-	168	PF00704	Glycosyl hydrolases family 18	1	96	6.3e-08	IPR001223	Glycoside hydrolase family 18, catalytic domain	GO:0005975	NA	PTHR11177:SF333	-	1	96	1.1e-34	NA	NA	NA	NA	SSF54556	Chitinase insertion domain	6	77	1.01e-11	IPR029070	Chitinase insertion domain superfamily	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.20.20.80	Glycosidases	1	97	3.6e-23	NA	NA	NA	NA
Ecl_000025	Ecl_000025-T1	Ecl_1605_22_1	445687	446321	+	172	PF09056	Prokaryotic phospholipase A2	46	155	2e-34	IPR015141	Phospholipase A2, prokaryotic/fungal	NA	NA	PTHR40787	-	4	160	2.1e-27	NA	NA	NA	NA	SSF48619	Phospholipase A2, PLA2	41	156	5.9e-27	IPR036444	Phospholipase A2 domain superfamily	GO:0004623|GO:0006644|GO:0050482	KEGG: 00564+3.1.1.4|KEGG: 00565+3.1.1.4|KEGG: 00590+3.1.1.4|KEGG: 00591+3.1.1.4|KEGG: 00592+3.1.1.4|MetaCyc: PWY-6803|MetaCyc: PWY-7409|MetaCyc: PWY-7416|MetaCyc: PWY-7417|MetaCyc: PWY-7783|MetaCyc: PWY-8051|MetaCyc: PWY-8053	NA	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:1.20.90.10	Phospholipase A2	40	157	2e-35	IPR036444	Phospholipase A2 domain superfamily	GO:0004623|GO:0006644|GO:0050482	KEGG: 00564+3.1.1.4|KEGG: 00565+3.1.1.4|KEGG: 00590+3.1.1.4|KEGG: 00591+3.1.1.4|KEGG: 00592+3.1.1.4|MetaCyc: PWY-6803|MetaCyc: PWY-7409|MetaCyc: PWY-7416|MetaCyc: PWY-7417|MetaCyc: PWY-7783|MetaCyc: PWY-8051|MetaCyc: PWY-8053
Ecl_000026	Ecl_000026-T1	Ecl_1605_22_1	446463	448190	-	491	PF00650	CRAL/TRIO domain	191	338	2.2e-40	IPR001251	CRAL-TRIO lipid binding domain	NA	NA	PTHR46590:SF1	PHOSPHATIDYLINOSITOL TRANSFER PROTEIN CSR1	4	439	4.1e-146	NA	NA	NA	NA	SSF52087	CRAL/TRIO domain	187	360	2.88e-50	IPR036865	CRAL-TRIO lipid binding domain superfamily	NA	NA	cd00170	SEC14	198	338	3.89e-32	IPR001251	CRAL-TRIO lipid binding domain	NA	NA	G3DSA:3.40.525.10	Phosphatidylinositol Transfer Protein Sec14p	88	376	5.2e-75	IPR036865	CRAL-TRIO lipid binding domain superfamily	NA	NA
Ecl_000027	Ecl_000027-T1	Ecl_1605_22_1	485927	487401	-	361	PF08450	SMP-30/Gluconolactonase/LRE-like region	149	329	4.8e-25	IPR013658	SMP-30/Gluconolactonase/LRE-like region	NA	NA	PTHR47064:SF2	-	29	360	8.3e-131	NA	NA	NA	NA	SSF63829	Calcium-dependent phosphotriesterase	39	347	1.14e-43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:2.120.10.30	TolB	103	347	3.7e-62	IPR011042	Six-bladed beta-propeller, TolB-like	NA	NA
Ecl_000028	Ecl_000028-T1	Ecl_1605_22_1	487827	489274	-	419	NA	NA	NA	NA	NA	NA	NA	NA	NA	PTHR37013	-	65	328	3.3e-92	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ecl_000030	Ecl_000030-T1	Ecl_1605_22_1	494944	496195	+	396	PF00295	Glycosyl hydrolases family 28	77	383	7.5e-102	IPR000743	Glycoside hydrolase, family 28	GO:0004650|GO:0005975	NA	PTHR31884	-	46	394	1.2e-124	NA	NA	NA	NA	SSF51126	Pectin lyase-like	56	390	1.73e-84	IPR011050	Pectin lyase fold/virulence factor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:2.160.20.10	-	60	391	6.5e-93	IPR012334	Pectin lyase fold	NA	NA
Ecl_000032	Ecl_000032-T1	Ecl_1605_22_1	496929	498396	+	458	PF01490	Transmembrane amino acid transporter protein	43	437	1.5e-52	IPR013057	Amino acid transporter, transmembrane domain	NA	NA	PTHR22950:SF8	-	27	456	2.4e-140	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ecl_000034	Ecl_000034-T1	Ecl_1605_22_1	499278	500506	+	347	PF07859	alpha/beta hydrolase fold	147	318	1.1e-13	IPR013094	Alpha/beta hydrolase fold-3	GO:0016787	NA	PTHR43494	-	147	346	3e-79	NA	NA	NA	NA	SSF53474	alpha/beta-Hydrolases	147	328	3.53e-19	IPR029058	Alpha/Beta hydrolase fold	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.40.50.1820	-	135	346	1.5e-28	IPR029058	Alpha/Beta hydrolase fold	NA	NA
Ecl_000036	Ecl_000036-T1	Ecl_1605_22_1	501909	504195	+	718	PF01822	WSC domain	142	223	2.5e-19	IPR002889	Carbohydrate-binding WSC	NA	NA	PTHR24269	-	136	388	8.5e-36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ecl_000038	Ecl_000038-T1	Ecl_1605_22_1	505987	508864	-	891	PF00884	Sulfatase	486	759	6.5e-19	IPR000917	Sulfatase, N-terminal	GO:0008484	NA	PTHR42693:SF32	-	13	890	3.7e-100	NA	NA	NA	NA	SSF53649	Alkaline phosphatase-like	486	828	1.21e-36	IPR017850	Alkaline-phosphatase-like, core domain superfamily	GO:0003824	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.40.720.10	Alkaline Phosphatase	485	763	1.2e-37	IPR017850	Alkaline-phosphatase-like, core domain superfamily	GO:0003824	NA
Ecl_000039	Ecl_000039-T1	Ecl_1605_22_1	512123	513372	-	291	PF11807	Mycotoxin biosynthesis protein UstYa	35	243	6.2e-43	IPR021765	Mycotoxin biosynthesis protein UstYa-like	GO:0043386	NA	PTHR33365	-	15	252	1.5e-46	IPR021765	Mycotoxin biosynthesis protein UstYa-like	GO:0043386	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ecl_000041	Ecl_000041-T1	Ecl_1605_22_1	515772	516513	+	217	PF00583	Acetyltransferase (GNAT) family	61	189	2.2e-07	IPR000182	GNAT domain	GO:0008080	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SSF55729	Acyl-CoA N-acyltransferases (Nat)	4	195	3.89e-07	IPR016181	Acyl-CoA N-acyltransferase	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.40.630.30	-	2	197	1.1e-12	NA	NA	NA	NA
Ecl_000043	Ecl_000043-T1	Ecl_1605_22_1	517434	518531	+	365	PF00501	AMP-binding enzyme	8	274	4.5e-47	IPR000873	AMP-dependent synthetase/ligase	NA	NA	PTHR45527	-	7	363	9.2e-128	NA	NA	NA	NA	SSF56801	Acetyl-CoA synthetase-like	7	363	7.59e-71	NA	NA	NA	NA	cd05918	A_NRPS_SidN3_like	11	363	1.91e-149	NA	NA	NA	NA	G3DSA:3.40.50.12780	-	2	269	1.4e-68	IPR042099	AMP-dependent synthetase-like superfamily	NA	NA
Ecl_000044	Ecl_000044-T1	Ecl_1605_22_1	519014	519790	+	258	PF07993	Male sterility protein	63	155	7.9e-11	IPR013120	Male sterility, NAD-binding	NA	Reactome: R-HSA-9640463	PTHR43201	-	62	248	2.9e-37	NA	NA	NA	NA	SSF51735	NAD(P)-binding Rossmann-fold domains	7	217	1.65e-16	IPR036291	NAD(P)-binding domain superfamily	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.40.50.720	-	70	248	8.4e-31	NA	NA	NA	NA
Ecl_000045	Ecl_000045-T1	Ecl_1605_22_1	521896	524348	-	745	PF04547	Calcium-activated chloride channel	211	669	2.1e-101	IPR007632	Anoctamin	NA	Reactome: R-HSA-2672351	PTHR12308	NGEP-RELATED	58	722	3.3e-183	IPR007632	Anoctamin	NA	Reactome: R-HSA-2672351	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ecl_000046	Ecl_000046-T1	Ecl_1605_22_1	525815	526372	-	185	NA	NA	NA	NA	NA	NA	NA	NA	NA	PTHR39697	-	38	183	8e-24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ecl_000047	Ecl_000047-T1	Ecl_1605_22_1	526965	527566	-	170	NA	NA	NA	NA	NA	NA	NA	NA	NA	PTHR39697	-	29	145	1.6e-21	NA	NA	NA	NA	SSF50405	Actin-crosslinking proteins	45	122	1.87e-06	IPR008999	Actin-crosslinking	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ecl_000048	Ecl_000048-T1	Ecl_1605_22_1	528337	530469	-	628	PF15624	Kinetochore CENP-C fungal homologue, Mif2, N-terminal	15	141	4e-33	IPR028929	Mif2/cnp3, N-terminal	NA	NA	PTHR16684	CENTROMERE PROTEIN C	228	618	1.7e-39	IPR028386	Centromere protein C/Mif2/cnp3	GO:0000776|GO:0019237|GO:0051382	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-606279|Reactome: R-HSA-68877|Reactome: R-HSA-9648025	SSF51182	RmlC-like cupins	516	614	2.35e-13	IPR011051	RmlC-like cupin domain superfamily	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:2.60.120.10	Jelly Rolls	529	617	4.9e-31	IPR014710	RmlC-like jelly roll fold	NA	NA
Ecl_000049	Ecl_000049-T1	Ecl_1605_22_1	530831	531784	+	317	PF01351	Ribonuclease HII	80	292	3.4e-42	IPR024567	Ribonuclease HII/HIII domain	NA	NA	PTHR10954	RIBONUCLEASE H2 SUBUNIT A	70	295	5.9e-80	IPR001352	Ribonuclease HII/HIII	GO:0003723|GO:0004523	NA	SSF53098	Ribonuclease H-like	78	296	2.88e-43	IPR012337	Ribonuclease H-like superfamily	NA	NA	cd07181	RNase_HII_eukaryota_like	80	295	3.29e-109	NA	NA	NA	NA	G3DSA:3.30.420.10	-	62	255	5.2e-62	IPR036397	Ribonuclease H superfamily	GO:0003676	NA
Ecl_000050	Ecl_000050-T1	Ecl_1605_22_1	532138	534976	-	862	PF05879	Root hair defective 3 GTP-binding protein (RHD3)	56	824	0	IPR008803	RHD3/Sey1	NA	NA	PTHR45923:SF2	PROTEIN SEY1	21	817	8.7e-212	NA	NA	NA	NA	SSF52540	P-loop containing nucleoside triphosphate hydrolases	18	266	6.69e-40	IPR027417	P-loop containing nucleoside triphosphate hydrolase	NA	NA	cd01851	GBP	46	261	2.03e-68	NA	NA	NA	NA	G3DSA:3.40.50.300	-	18	261	7.5e-28	NA	NA	NA	NA
Ecl_000051	Ecl_000051-T1	Ecl_1605_22_1	535545	536785	+	268	PF01738	Dienelactone hydrolase family	28	249	9.9e-19	IPR002925	Dienelactone hydrolase	GO:0016787	NA	PTHR47562	-	21	268	1.1e-103	NA	NA	NA	NA	SSF53474	alpha/beta-Hydrolases	23	250	4.94e-29	IPR029058	Alpha/Beta hydrolase fold	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.40.50.1820	-	13	249	2.4e-27	IPR029058	Alpha/Beta hydrolase fold	NA	NA
Ecl_000052	Ecl_000052-T1	Ecl_1605_22_1	537160	540003	-	897	PF00924	Mechanosensitive ion channel	484	631	4.1e-20	IPR006685	Mechanosensitive ion channel MscS	GO:0016020|GO:0055085	NA	PTHR31323	-	45	835	2.8e-200	NA	NA	NA	NA	SSF50182	Sm-like ribonucleoproteins	534	593	2.55e-07	IPR010920	LSM domain superfamily	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ecl_000053	Ecl_000053-T1	Ecl_1605_22_1	547294	550943	-	666	PF00083	Sugar (and other) transporter	133	580	6.2e-95	IPR005828	Major facilitator,  sugar transporter-like	GO:0016021|GO:0022857|GO:0055085	NA	PTHR23500	-	48	615	8.1e-242	NA	NA	NA	NA	SSF103473	MFS general substrate transporter	115	577	7.06e-57	IPR036259	MFS transporter superfamily	NA	NA	cd17315	MFS_GLUT_like	135	567	2.55e-77	NA	NA	NA	NA	G3DSA:1.20.1250.20	MFS general substrate transporter like domains	120	582	2.7e-115	NA	NA	NA	NA
Ecl_000055	Ecl_000055-T1	Ecl_1605_22_1	603178	605192	+	652	PF00012	Hsp70 protein	5	611	3.6e-257	IPR013126	Heat shock protein 70 family	NA	Reactome: R-HSA-3371453	PTHR19375	HEAT SHOCK PROTEIN 70KDA	5	624	0	IPR013126	Heat shock protein 70 family	NA	Reactome: R-HSA-3371453	SSF53067	Actin-like ATPase domain	189	381	1.13e-70	IPR043129	ATPase, nucleotide binding domain	NA	NA	cd10233	HSPA1-2_6-8-like_NBD	5	380	0	NA	NA	NA	NA	G3DSA:3.30.420.40	-	6	377	2.4e-179	NA	NA	NA	NA
Ecl_000056	Ecl_000056-T1	Ecl_1605_22_1	605638	606345	-	235	PF11326	Protein of unknown function (DUF3128)	112	195	2.7e-24	IPR021475	Protein of unknown function DUF3128	NA	NA	PTHR28052	-	91	197	5.1e-23	IPR021475	Protein of unknown function DUF3128	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ecl_000059	Ecl_000059-T1	Ecl_1605_22_1	607708	609438	+	576	PF10443	RNA12 protein	102	533	1.6e-159	IPR018850	Mitochondrial escape protein 2, C-terminal	NA	NA	PTHR32198	-	7	574	7.9e-206	IPR039627	Mitochondrial escape protein 2	GO:0000002|GO:0031305	NA	SSF52540	P-loop containing nucleoside triphosphate hydrolases	102	349	6.27e-08	IPR027417	P-loop containing nucleoside triphosphate hydrolase	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.40.50.300	-	100	311	6e-06	NA	NA	NA	NA
Ecl_000060	Ecl_000060-T1	Ecl_1605_22_1	609578	611835	-	714	PF09441	ARS binding protein 2	26	194	1e-80	IPR018562	ARS binding protein 2	NA	NA	PTHR42048	-	18	584	3.9e-136	IPR018562	ARS binding protein 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ecl_000061	Ecl_000061-T1	Ecl_1605_22_1	612927	614682	-	546	PF08598	Sds3-like	36	239	6.5e-28	IPR013907	Sds3-like	NA	NA	PTHR21964	BREAST CANCER METASTASIS-SUPPRESSOR 1	1	523	1.5e-139	IPR013907	Sds3-like	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ecl_000064	Ecl_000064-T1	Ecl_1605_22_1	617101	617898	+	228	PF01168	Alanine racemase, N-terminal domain	4	219	5.3e-22	IPR001608	Alanine racemase, N-terminal	NA	KEGG: 00473+5.1.1.1|MetaCyc: PWY-7383|MetaCyc: PWY-8040|MetaCyc: PWY-8072	PTHR10146	PROLINE SYNTHETASE CO-TRANSCRIBED BACTERIAL HOMOLOG PROTEIN	3	221	1.9e-82	IPR011078	Pyridoxal phosphate homeostasis protein	GO:0030170	NA	SSF51419	PLP-binding barrel	3	216	2.8e-58	IPR029066	PLP-binding barrel	NA	NA	cd06822	PLPDE_III_YBL036c_euk	2	216	3.52e-110	NA	NA	NA	NA	G3DSA:3.20.20.10	Alanine racemase	1	227	3.9e-83	IPR029066	PLP-binding barrel	NA	NA
Ecl_000065	Ecl_000065-T1	Ecl_1605_22_1	618778	621913	-	964	PF01602	Adaptin N terminal region	20	572	2.2e-123	IPR002553	Clathrin/coatomer adaptor, adaptin-like, N-terminal	GO:0006886|GO:0016192|GO:0030117	NA	PTHR22780	ADAPTIN, ALPHA/GAMMA/EPSILON	1	932	0	NA	NA	NA	NA	SSF48371	ARM repeat	1	576	7.82e-100	IPR016024	Armadillo-type fold	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:1.25.10.10	-	1	589	4e-209	IPR011989	Armadillo-like helical	NA	NA
Ecl_000067	Ecl_000067-T1	Ecl_1605_22_1	622705	623802	+	365	PF08241	Methyltransferase domain	140	211	1e-08	IPR013216	Methyltransferase type 11	GO:0008168	NA	PTHR13090	UNCHARACTERIZED	92	363	8.3e-107	NA	NA	NA	NA	SSF53335	S-adenosyl-L-methionine-dependent methyltransferases	99	293	1.09e-20	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase	NA	NA	cd02440	AdoMet_MTases	100	209	5.75e-05	NA	NA	NA	NA	G3DSA:3.40.50.150	Vaccinia Virus protein VP39	96	296	1.6e-16	NA	NA	NA	NA
Ecl_000068	Ecl_000068-T1	Ecl_1605_22_1	624006	624820	-	200	PF04699	ARP2/3 complex 16 kDa subunit (p16-Arc)	15	200	3.5e-53	IPR006789	Actin-related protein 2/3 complex subunit 5	GO:0005885|GO:0015629|GO:0030833|GO:0034314	NA	PTHR12644	ARP2/3 COMPLEX 16 KD SUBUNIT  P16-ARC	13	200	3.9e-41	IPR006789	Actin-related protein 2/3 complex subunit 5	GO:0005885|GO:0015629|GO:0030833|GO:0034314	NA	SSF69103	Arp2/3 complex 16 kDa subunit ARPC5	15	200	1.44e-38	IPR036743	Actin-related protein 2/3 complex subunit 5 superfamily	GO:0005885|GO:0015629|GO:0030833|GO:0034314	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ecl_000069	Ecl_000069-T1	Ecl_1605_22_1	633461	636713	-	723	PF05236	Transcription initiation factor TFIID component TAF4 family	420	711	4.8e-24	IPR007900	Transcription initiation factor TFIID component TAF4	GO:0005669|GO:0006352	Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-674695|Reactome: R-HSA-6804756|Reactome: R-HSA-73776|Reactome: R-HSA-73779|Reactome: R-HSA-75953|Reactome: R-HSA-76042	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ecl_000070	Ecl_000070-T1	Ecl_1605_22_1	636757	637968	+	403	PF10996	Beta-Casp domain	185	319	1.2e-29	IPR022712	Beta-Casp domain	NA	NA	PTHR11203:SF11	CLEAVAGE AND POLYADENYLATION SPECIFICITY FACTOR SUBUNIT 3	7	384	1.7e-172	NA	NA	NA	NA	SSF56281	Metallo-hydrolase/oxidoreductase	7	384	6.23e-113	IPR036866	Ribonuclease Z/Hydroxyacylglutathione hydrolase-like	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.60.15.10	-	7	383	2.1e-111	IPR036866	Ribonuclease Z/Hydroxyacylglutathione hydrolase-like	NA	NA
