gene_id	geneT_id	chr.num	start	end	strand	seq.ln	pfam.sigAcc	pfam.desc	pfam.start	pfam.end	pfam.eval	pfam.iprAcc	pfam.iprAnn	pfam.go	pfam.pthAnn	pant.sigAcc	pant.desc	pant.start	pant.end	pant.eval	pant.iprAcc	pant.iprAnn	pant.go	pant.pthAnn	sfam.sigAcc	sfam.desc	sfam.start	sfam.end	sfam.eval	sfam.iprAcc	sfam.iprAnn	sfam.go	sfam.pthAnn	cdd.sigAcc	cdd.desc	cdd.start	cdd.end	cdd.eval	cdd.iprAcc	cdd.iprAnn	cdd.go	cdd.pthAnn	g3d.sigAcc	g3d.desc	g3d.start	g3d.end	g3d.eval	g3d.iprAcc	g3d.iprAnn	g3d.go	g3d.pthAnn
Ety_000019	Ety_000019-T1	Ety_1756_1	41656	43090	+	453	PF04427	Brix domain	42	339	6.2e-49	IPR007109	Brix domain	NA	NA	PTHR12661	PETER PAN-RELATED	2	446	1.8e-98	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ety_000020	Ety_000020-T1	Ety_1756_1	43653	44730	-	305	PF05572	Pregnancy-associated plasma protein-A	141	271	2.5e-12	IPR008754	Peptidase M43, pregnancy-associated plasma-A	NA	Reactome: R-HSA-381426	PTHR47466	-	61	281	2.1e-53	NA	NA	NA	NA	SSF55486	Metalloproteases ("zincins"), catalytic domain	136	277	2.25e-15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.40.390.10	Collagenase (Catalytic Domain)	65	282	2.7e-42	IPR024079	Metallopeptidase, catalytic domain superfamily	GO:0008237	NA
Ety_000021	Ety_000021-T1	Ety_1756_1	49701	49964	+	87	PF05891	AdoMet dependent proline di-methyltransferase	18	83	1.4e-13	IPR008576	Alpha-N-methyltransferase NTM1	GO:0006480|GO:0008168	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.40.50.150	Vaccinia Virus protein VP39	4	84	3.4e-10	NA	NA	NA	NA
Ety_000022	Ety_000022-T1	Ety_1756_1	50026	50623	+	179	PF05891	AdoMet dependent proline di-methyltransferase	19	173	1.6e-51	IPR008576	Alpha-N-methyltransferase NTM1	GO:0006480|GO:0008168	NA	PTHR12753	AD-003 - RELATED	20	174	2.6e-42	IPR008576	Alpha-N-methyltransferase NTM1	GO:0006480|GO:0008168	NA	SSF53335	S-adenosyl-L-methionine-dependent methyltransferases	20	157	9.49e-21	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase	NA	NA	cd02440	AdoMet_MTases	21	111	0.00277984	NA	NA	NA	NA	G3DSA:3.40.50.150	Vaccinia Virus protein VP39	18	173	4.9e-42	NA	NA	NA	NA
Ety_000023	Ety_000023-T1	Ety_1756_1	50745	52599	-	316	PF00172	Fungal Zn(2)-Cys(6) binuclear cluster domain	61	95	7.7e-08	IPR001138	Zn(2)-C6 fungal-type DNA-binding domain	GO:0000981|GO:0006355|GO:0008270	NA	PTHR47660	-	26	241	3.5e-20	NA	NA	NA	NA	SSF57701	Zn2/Cys6 DNA-binding domain	56	97	2.22e-08	IPR036864	Zn(2)-C6 fungal-type DNA-binding domain superfamily	GO:0000981|GO:0006355|GO:0008270	NA	cd00067	GAL4	59	92	8.2e-08	IPR001138	Zn(2)-C6 fungal-type DNA-binding domain	GO:0000981|GO:0006355|GO:0008270	NA	G3DSA:4.10.240.10	-	54	106	3.1e-09	IPR036864	Zn(2)-C6 fungal-type DNA-binding domain superfamily	GO:0000981|GO:0006355|GO:0008270	NA
Ety_000024	Ety_000024-T1	Ety_1756_1	62500	64803	-	767	PF07741	Brf1-like TBP-binding domain	575	674	5e-25	IPR011665	Brf1, TBP-binding domain	NA	Reactome: R-HSA-749476|Reactome: R-HSA-76061|Reactome: R-HSA-76066	PTHR11618:SF4	TRANSCRIPTION FACTOR IIIB 90 KDA SUBUNIT	72	677	6.9e-116	IPR029529	Transcription factor IIIB subunit Brf1	GO:0000126|GO:0000995|GO:0006383	NA	SSF47954	Cyclin-like	248	338	8.69e-27	IPR036915	Cyclin-like superfamily	NA	NA	cd00043	CYCLIN	248	333	3.02e-14	IPR013763	Cyclin-like	NA	NA	G3DSA:1.10.472.10	-	139	240	1.2e-20	NA	NA	NA	NA
Ety_000025	Ety_000025-T1	Ety_1756_1	65351	66041	+	189	PF07081	Protein of unknown function (DUF1349)	4	186	2.1e-23	IPR009784	Protein of unknown function DUF1349	NA	NA	PTHR35332	-	5	188	4.8e-38	IPR009784	Protein of unknown function DUF1349	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:2.60.120.200	-	1	187	1.5e-39	NA	NA	NA	NA
Ety_000026	Ety_000026-T1	Ety_1756_1	66198	72640	-	939	PF13738	Pyridine nucleotide-disulphide oxidoreductase	452	671	1.7e-09	NA	NA	NA	NA	PTHR43872	-	447	937	1.7e-179	NA	NA	NA	NA	SSF51905	FAD/NAD(P)-binding domain	449	866	2.49e-42	IPR036188	FAD/NAD(P)-binding domain superfamily	NA	NA	cd18186	BTB_POZ_ZBTB_KLHL-like	198	259	6.13e-12	NA	NA	NA	NA	G3DSA:3.50.50.60	-	440	612	2.6e-37	IPR036188	FAD/NAD(P)-binding domain superfamily	NA	NA
Ety_000027	Ety_000027-T1	Ety_1756_1	72924	74277	-	335	NA	NA	NA	NA	NA	NA	NA	NA	NA	PTHR12242:SF1	LD06593P-RELATED	13	162	6.2e-13	IPR039860	Protein rolling stone	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ety_000029	Ety_000029-T1	Ety_1756_1	75695	76382	+	172	PF00717	Peptidase S24-like	28	136	2.9e-07	IPR015927	Peptidase S24/S26A/S26B/S26C	NA	NA	PTHR10806	SIGNAL PEPTIDASE COMPLEX CATALYTIC SUBUNIT SEC11	7	171	2.5e-65	IPR001733	Peptidase S26B	GO:0006465|GO:0008233|GO:0016020	NA	SSF51306	LexA/Signal peptidase	42	93	2.25e-09	IPR036286	LexA/Signal peptidase-like superfamily	NA	NA	cd06530	S26_SPase_I	41	115	8.66e-17	NA	NA	NA	NA	G3DSA:2.10.109.10	Umud Fragment	41	154	4.4e-05	NA	NA	NA	NA
Ety_000032	Ety_000032-T1	Ety_1756_1	78237	81927	+	784	PF00930	Dipeptidyl peptidase IV (DPP IV) N-terminal region	114	473	2.5e-105	IPR002469	Dipeptidylpeptidase IV, N-terminal domain	GO:0006508	NA	PTHR11731:SF162	-	22	781	0	NA	NA	NA	NA	SSF82171	DPP6 N-terminal domain-like	56	502	1.57e-56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:2.140.10.30	-	90	502	3.5e-212	IPR038554	Dipeptidylpeptidase IV, N-terminal domain superfamily	NA	NA
Ety_000033	Ety_000033-T1	Ety_1756_1	82207	84438	+	743	PF04677	Protein similar to CwfJ C-terminus 1	499	621	6.2e-25	IPR006768	Cwf19-like, C-terminal domain-1	NA	NA	PTHR12072	CWF19, CELL CYCLE CONTROL PROTEIN	72	741	3.9e-146	IPR040194	Cwf19-like protein	NA	NA	SSF54197	HIT-like	504	591	1.89e-05	IPR036265	HIT-like superfamily	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.30.428.10	HIT family	470	639	3.7e-05	IPR036265	HIT-like superfamily	NA	NA
Ety_000034	Ety_000034-T1	Ety_1756_1	85040	88008	-	928	PF00561	alpha/beta hydrolase fold	566	656	2.4e-08	IPR000073	Alpha/beta hydrolase fold-1	NA	NA	PTHR42886:SF39	ALPHA/BETA-HYDROLASES SUPERFAMILY PROTEIN	247	907	4.6e-128	NA	NA	NA	NA	SSF53474	alpha/beta-Hydrolases	526	884	8.23e-27	IPR029058	Alpha/Beta hydrolase fold	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ety_000035	Ety_000035-T1	Ety_1756_1	88426	89904	+	357	PF04116	Fatty acid hydroxylase superfamily	174	308	1.6e-10	IPR006694	Fatty acid hydroxylase	GO:0005506|GO:0008610|GO:0016491|GO:0055114	NA	PTHR11863	STEROL DESATURASE	29	351	8.2e-90	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ety_000036	Ety_000036-T1	Ety_1756_1	90258	92484	-	697	PF10300	Protein of unknown function (DUF3808)	39	576	8.7e-109	IPR019412	Inclusion body clearance protein Iml2/Tetratricopeptide repeat protein 39	NA	NA	PTHR31859	-	24	691	1.5e-108	IPR019412	Inclusion body clearance protein Iml2/Tetratricopeptide repeat protein 39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ety_000037	Ety_000037-T1	Ety_1756_1	92688	93574	+	99	PF05160	DSS1/SEM1 family	31	92	1.7e-21	IPR007834	DSS1/SEM1	GO:0006406|GO:0008541|GO:0043248	NA	PTHR16771	26 PROTEASOME COMPLEX SUBUNIT DSS1	25	93	1.4e-17	IPR007834	DSS1/SEM1	GO:0006406|GO:0008541|GO:0043248	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cd13768	DSS1_Sem1	36	93	2.51e-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ety_000038	Ety_000038-T1	Ety_1756_1	96255	97280	-	257	PF04117	Mpv17 / PMP22 family	191	251	2.7e-21	IPR007248	Mpv17/PMP22	GO:0016021	NA	PTHR11266	PEROXISOMAL MEMBRANE PROTEIN 2, PXMP2  MPV17	8	256	4.7e-88	IPR007248	Mpv17/PMP22	GO:0016021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ety_000043	Ety_000043-T1	Ety_1756_1	111242	112099	+	257	PF00225	Kinesin motor domain	40	145	2.1e-14	IPR001752	Kinesin motor domain	GO:0003777|GO:0005524|GO:0007018|GO:0008017	Reactome: R-HSA-6811434|Reactome: R-HSA-983189	PTHR24115	-	30	136	3.2e-12	IPR027640	Kinesin-like protein	GO:0003777|GO:0007018	Reactome: R-HSA-6811434|Reactome: R-HSA-983189	SSF52540	P-loop containing nucleoside triphosphate hydrolases	14	146	1.65e-18	IPR027417	P-loop containing nucleoside triphosphate hydrolase	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.40.850.10	Kinesin	6	156	4.9e-18	IPR036961	Kinesin motor domain superfamily	NA	NA
Ety_000044	Ety_000044-T1	Ety_1756_1	112130	113978	+	586	PF00225	Kinesin motor domain	79	311	2.8e-38	IPR001752	Kinesin motor domain	GO:0003777|GO:0005524|GO:0007018|GO:0008017	Reactome: R-HSA-6811434|Reactome: R-HSA-983189	PTHR24115:SF467	KINESIN-LIKE PROTEIN KIF23	76	476	3.9e-45	IPR032924	Kinesin-like protein KIF23	GO:0000915|GO:0003777|GO:0072383	Reactome: R-HSA-2132295|Reactome: R-HSA-6811434|Reactome: R-HSA-68884|Reactome: R-HSA-983189	SSF52540	P-loop containing nucleoside triphosphate hydrolases	77	316	1.38e-44	IPR027417	P-loop containing nucleoside triphosphate hydrolase	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.40.850.10	Kinesin	42	318	6.7e-48	IPR036961	Kinesin motor domain superfamily	NA	NA
Ety_000046	Ety_000046-T1	Ety_1756_1	116246	117748	-	459	PF01731	Arylesterase	203	243	1.2e-05	IPR002640	Arylesterase	GO:0004064	KEGG: 00363+3.1.1.2|Reactome: R-HSA-2142688	PTHR11799:SF12	SERUM PARAOXONASE/ARYLESTERASE 2	47	426	2.1e-45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:2.120.10.30	TolB	38	430	2.4e-49	IPR011042	Six-bladed beta-propeller, TolB-like	NA	NA
Ety_000048	Ety_000048-T1	Ety_1756_1	120394	127184	-	2217	NA	NA	NA	NA	NA	NA	NA	NA	NA	PTHR15502	CALCINEURIN-BINDING PROTEIN CABIN 1-RELATED	37	1894	1.1e-172	IPR033053	Histone transcription regulator 3/CABIN1	GO:0006336	Reactome: R-HSA-2559584	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ety_000049	Ety_000049-T1	Ety_1756_1	127631	128863	-	410	PF00107	Zinc-binding dehydrogenase	240	372	2.2e-22	IPR013149	Alcohol dehydrogenase, C-terminal	GO:0055114	NA	PTHR43161	-	64	401	6.2e-133	NA	NA	NA	NA	SSF51735	NAD(P)-binding Rossmann-fold domains	203	375	4.73e-37	IPR036291	NAD(P)-binding domain superfamily	NA	NA	cd05285	sorbitol_DH	67	401	2.56e-179	NA	NA	NA	NA	G3DSA:3.90.180.10	-	73	398	1.3e-116	NA	NA	NA	NA
Ety_000050	Ety_000050-T1	Ety_1756_1	130319	132116	+	547	PF00083	Sugar (and other) transporter	64	518	2.2e-97	IPR005828	Major facilitator,  sugar transporter-like	GO:0016021|GO:0022857|GO:0055085	NA	PTHR23500	-	35	528	9.3e-281	NA	NA	NA	NA	SSF103473	MFS general substrate transporter	47	514	4.19e-62	IPR036259	MFS transporter superfamily	NA	NA	cd17356	MFS_HXT	64	514	2.26e-90	NA	NA	NA	NA	G3DSA:1.20.1250.20	MFS general substrate transporter like domains	55	523	3.9e-117	NA	NA	NA	NA
Ety_000052	Ety_000052-T1	Ety_1756_1	135839	137009	+	346	PF01476	LysM domain	150	182	0.00054	IPR018392	LysM domain	NA	NA	PTHR34997	-	40	175	8.8e-26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cd00118	LysM	49	87	0.00434739	IPR018392	LysM domain	NA	NA	G3DSA:3.10.350.10	-	142	198	1.5e-07	IPR036779	LysM domain superfamily	NA	NA
Ety_000053	Ety_000053-T1	Ety_1756_1	138097	140510	+	696	PF09295	ChAPs (Chs5p-Arf1p-binding proteins)	49	435	1.3e-148	IPR015374	Chs5p-Arf1p binding	NA	NA	PTHR31975	-	1	694	7.1e-222	IPR015374	Chs5p-Arf1p binding	NA	NA	SSF48452	TPR-like	297	602	1.74e-06	IPR011990	Tetratricopeptide-like helical domain superfamily	GO:0005515	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ety_000054	Ety_000054-T1	Ety_1756_1	141116	142387	+	390	PF03029	Conserved hypothetical ATP binding protein	16	275	3.2e-71	IPR004130	GPN-loop GTPase	NA	NA	PTHR21231:SF8	GPN-LOOP GTPASE 1	7	359	6.3e-151	IPR030230	GPN-loop GTPase 1	GO:0003924	NA	SSF52540	P-loop containing nucleoside triphosphate hydrolases	13	276	1.28e-41	IPR027417	P-loop containing nucleoside triphosphate hydrolase	NA	NA	cd17870	GPN1	12	275	1.11e-156	NA	NA	NA	NA	G3DSA:3.40.50.300	-	11	292	6.1e-98	NA	NA	NA	NA
Ety_000055	Ety_000055-T1	Ety_1756_1	142556	142839	-	73	PF03604	DNA directed RNA polymerase, 7 kDa subunit	32	63	3.5e-11	IPR006591	RNA polymerase archaeal subunit P/eukaryotic subunit RPABC4	GO:0003677|GO:0003899|GO:0006351	Reactome: R-HSA-112382|Reactome: R-HSA-113418|Reactome: R-HSA-167152|Reactome: R-HSA-167158|Reactome: R-HSA-167160|Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-167200|Reactome: R-HSA-167238|Reactome: R-HSA-167242|Reactome: R-HSA-167243|Reactome: R-HSA-167246|Reactome: R-HSA-167287|Reactome: R-HSA-167290|Reactome: R-HSA-168325|Reactome: R-HSA-1834949|Reactome: R-HSA-203927|Reactome: R-HSA-427413|Reactome: R-HSA-5250924|Reactome: R-HSA-5578749|Reactome: R-HSA-5601884|Reactome: R-HSA-5617472|Reactome: R-HSA-674695|Reactome: R-HSA-6781823|Reactome: R-HSA-6781827|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-6796648|Reactome: R-HSA-6803529|Reactome: R-HSA-6807505|Reactome: R-HSA-72086|Reactome: R-HSA-72163|Reactome: R-HSA-72165|Reactome: R-HSA-72203|Reactome: R-HSA-73762|Reactome: R-HSA-73772|Reactome: R-HSA-73776|Reactome: R-HSA-73779|Reactome: R-HSA-73780|Reactome: R-HSA-73863|Reactome: R-HSA-73980|Reactome: R-HSA-749476|Reactome: R-HSA-75953|Reactome: R-HSA-75955|Reactome: R-HSA-76042|Reactome: R-HSA-76061|Reactome: R-HSA-76066|Reactome: R-HSA-76071|Reactome: R-HSA-77075|Reactome: R-HSA-8851708|Reactome: R-HSA-9018519	PTHR12056	DNA-DIRECTED RNA POLYMERASES I, II, AND III	27	73	3.3e-16	IPR039747	DNA-directed RNA polymerases I, II, and III subunit RPABC4	GO:0003899|GO:0008270	Reactome: R-HSA-112382|Reactome: R-HSA-113418|Reactome: R-HSA-167152|Reactome: R-HSA-167158|Reactome: R-HSA-167160|Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-167200|Reactome: R-HSA-167238|Reactome: R-HSA-167242|Reactome: R-HSA-167243|Reactome: R-HSA-167246|Reactome: R-HSA-167287|Reactome: R-HSA-167290|Reactome: R-HSA-168325|Reactome: R-HSA-1834949|Reactome: R-HSA-203927|Reactome: R-HSA-427413|Reactome: R-HSA-5250924|Reactome: R-HSA-5578749|Reactome: R-HSA-5601884|Reactome: R-HSA-5617472|Reactome: R-HSA-674695|Reactome: R-HSA-6781823|Reactome: R-HSA-6781827|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-6796648|Reactome: R-HSA-6803529|Reactome: R-HSA-6807505|Reactome: R-HSA-72086|Reactome: R-HSA-72163|Reactome: R-HSA-72165|Reactome: R-HSA-72203|Reactome: R-HSA-73762|Reactome: R-HSA-73772|Reactome: R-HSA-73776|Reactome: R-HSA-73779|Reactome: R-HSA-73780|Reactome: R-HSA-73863|Reactome: R-HSA-73980|Reactome: R-HSA-749476|Reactome: R-HSA-75953|Reactome: R-HSA-75955|Reactome: R-HSA-76042|Reactome: R-HSA-76061|Reactome: R-HSA-76066|Reactome: R-HSA-76071|Reactome: R-HSA-77075|Reactome: R-HSA-8851708|Reactome: R-HSA-9018519	SSF63393	RNA polymerase subunits	30	73	5.23e-13	IPR029040	RNA polymerase subunit RPABC4/transcription elongation factor Spt4	NA	Reactome: R-HSA-112382|Reactome: R-HSA-113418|Reactome: R-HSA-167152|Reactome: R-HSA-167158|Reactome: R-HSA-167200|Reactome: R-HSA-167238|Reactome: R-HSA-167242|Reactome: R-HSA-167243|Reactome: R-HSA-167246|Reactome: R-HSA-167287|Reactome: R-HSA-167290|Reactome: R-HSA-674695|Reactome: R-HSA-6796648|Reactome: R-HSA-6807505|Reactome: R-HSA-75955	NA	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:2.20.28.30	RNA polymerase ii	29	73	3.7e-19	NA	NA	NA	NA
Ety_000056	Ety_000056-T1	Ety_1756_1	143150	144157	-	298	PF16803	Fe-S cluster assembly protein DRE2 N-terminus	24	152	4.2e-36	IPR031838	Fe-S cluster assembly protein Dre2, N-terminal	NA	NA	PTHR13273	ANAMORSIN	22	294	2.1e-43	IPR007785	Anamorsin	GO:0005737|GO:0016226|GO:0051536	Reactome: R-HSA-2564830	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ety_000057	Ety_000057-T1	Ety_1756_1	144936	145511	+	191	PF01230	HIT domain	42	132	9.6e-18	IPR001310	Histidine triad (HIT) protein	NA	NA	PTHR46648:SF2	-	5	185	5.8e-71	NA	NA	NA	NA	SSF54197	HIT-like	37	169	2.47e-31	IPR036265	HIT-like superfamily	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.30.428.10	HIT family	4	176	8e-35	IPR036265	HIT-like superfamily	NA	NA
Ety_000058	Ety_000058-T1	Ety_1756_1	145847	146263	-	138	PF00903	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily	9	138	9e-08	IPR004360	Glyoxalase/fosfomycin resistance/dioxygenase domain	NA	NA	PTHR21366:SF15	-	5	138	1.2e-38	NA	NA	NA	NA	SSF54593	Glyoxalase/Bleomycin resistance protein/Dihydroxybiphenyl dioxygenase	6	138	1.13e-19	IPR029068	Glyoxalase/Bleomycin resistance protein/Dihydroxybiphenyl dioxygenase	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.10.180.10	2	10	138	3.3e-29	IPR029068	Glyoxalase/Bleomycin resistance protein/Dihydroxybiphenyl dioxygenase	NA	NA
Ety_000060	Ety_000060-T1	Ety_1756_1	153495	156362	+	955	PF00566	Rab-GTPase-TBC domain	665	758	2.7e-17	IPR000195	Rab-GTPase-TBC domain	NA	NA	PTHR22957	TBC1 DOMAIN FAMILY MEMBER GTPASE-ACTIVATING PROTEIN	229	914	3.2e-141	NA	NA	NA	NA	SSF47923	Ypt/Rab-GAP domain of gyp1p	561	756	1.15e-37	IPR035969	Rab-GTPase-TBC domain superfamily	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:1.10.8.270	putative rabgap domain of human tbc1 domain family member 14 like domains	590	730	8.2e-27	NA	NA	NA	NA
