gene_id geneT_id effector.prob eff.start eff.end chr.num start end strand
Ety_006738 Ety_006738-T1 0.572 19 270 Ety_1756_6 425498 426496 +
Ety_006740 Ety_006740-T1 0.801 29 269 Ety_1756_6 428043 429103 -
Ety_006760 Ety_006760-T1 0.593 20 274 Ety_1756_6 477805 478848 +
Ety_006827 Ety_006827-T1 0.888 17 70 Ety_1756_6 682264 682581 +
Ety_006860 Ety_006860-T1 0.969 17 102 Ety_1756_6 841274 841582 +
Ety_006980 Ety_006980-T1 0.82 17 136 Ety_1756_6 1437183 1437648 +
Ety_007008 Ety_007008-T1 0.777 20 261 Ety_1756_6 1515782 1516567 +
Ety_007074 Ety_007074-T1 0.73 16 242 Ety_1756_6 2133957 2134940 -
Ety_007171 Ety_007171-T1 0.9 21 156 Ety_1756_6 2569839 2570386 +
Ety_007180 Ety_007180-T1 0.73 22 278 Ety_1756_6 2670548 2671541 -
Ety_007190 Ety_007190-T1 0.606 21 79 Ety_1756_6 2690451 2690690 -
Ety_007204 Ety_007204-T1 0.85 17 108 Ety_1756_6 2740490 2740816 -
Ety_007247 Ety_007247-T1 0.869 18 103 Ety_1756_6 2881958 2882353 +
Ety_007339 Ety_007339-T1 0.641 23 383 Ety_1756_6 3203505 3204823 -
Ety_007394 Ety_007394-T1 0.692 19 176 Ety_1756_6 3460680 3461277 -
Ety_007396 Ety_007396-T1 0.636 18 182 Ety_1756_6 3463843 3464391 +
Ety_007506 Ety_007506-T1 0.829 20 151 Ety_1756_6 3799503 3800026 +
Ety_007515 Ety_007515-T1 0.697 18 133 Ety_1756_6 3863745 3864232 +
Ety_007531 Ety_007531-T1 0.683 18 153 Ety_1756_6 3912834 3913394 -
Ety_007562 Ety_007562-T1 0.711 17 239 Ety_1756_6 4001300 4002019 +
Ety_007621 Ety_007621-T1 0.567 26 98 Ety_1756_6 4359531 4359827 -
Ety_007634 Ety_007634-T1 0.619 21 326 Ety_1756_6 4390472 4391718 +
Ety_007658 Ety_007658-T1 0.942 23 161 Ety_1756_6 4456334 4456951 +
Ety_007691 Ety_007691-T1 0.912 17 146 Ety_1756_7 157138 157659 +
Ety_007697 Ety_007697-T1 0.806 19 210 Ety_1756_7 171166 172212 +
Ety_007720 Ety_007720-T1 0.915 18 96 Ety_1756_7 234592 234969 +
Ety_007724 Ety_007724-T1 0.946 31 203 Ety_1756_7 251102 252240 +
Ety_007735 Ety_007735-T1 0.793 21 193 Ety_1756_7 270075 270748 +
Ety_007758 Ety_007758-T1 0.792 17 123 Ety_1756_7 521853 522328 -
Ety_007816 Ety_007816-T1 0.654 19 113 Ety_1756_7 1070452 1071257 +
Ety_007921 Ety_007921-T1 0.802 22 160 Ety_1756_7 1326846 1327442 -
Ety_008042 Ety_008042-T1 0.756 17 209 Ety_1756_7 1671313 1671942 +
Ety_008187 Ety_008187-T1 0.912 20 100 Ety_1756_7 2098870 2099172 +
Ety_008220 Ety_008220-T1 0.694 18 189 Ety_1756_7 2208107 2208723 +
Ety_008233 Ety_008233-T1 0.567 17 338 Ety_1756_7 2262550 2263709 -
Ety_008262 Ety_008262-T1 0.752 20 270 Ety_1756_7 2347379 2348191 -
