gene_id geneT_id effector.prob eff.start eff.end chr.num start end strand
Ecl_001900 Ecl_001900-T1 0.922 22 149 Ecl_1605_22_2 2172539 2173155 +
Ecl_002121 Ecl_002121-T1 0.642 21 259 Ecl_1605_22_2 3357613 3359263 +
Ecl_002194 Ecl_002194-T1 0.692 18 129 Ecl_1605_22_2 3737121 3737738 -
Ecl_002204 Ecl_002204-T1 0.8 19 147 Ecl_1605_22_2 3761451 3762012 -
Ecl_002334 Ecl_002334-T1 0.815 19 126 Ecl_1605_22_2 4284149 4284638 +
Ecl_002349 Ecl_002349-T1 0.602 39 77 Ecl_1605_22_2 4348516 4349965 -
Ecl_002731 Ecl_002731-T1 0.688 23 223 Ecl_1605_22_2 6232991 6233662 -
Ecl_002736 Ecl_002736-T1 0.873 18 225 Ecl_1605_22_2 6243590 6244267 -
Ecl_002975 Ecl_002975-T1 0.952 19 84 Ecl_1605_22_3 417561 417815 -
Ecl_003010 Ecl_003010-T1 0.73 25 272 Ecl_1605_22_3 600398 601301 -
Ecl_003015 Ecl_003015-T1 0.553 19 178 Ecl_1605_22_3 718012 718548 +
Ecl_003031 Ecl_003031-T1 0.789 23 241 Ecl_1605_22_3 759887 760692 +
Ecl_003083 Ecl_003083-T1 0.903 20 115 Ecl_1605_22_3 1084178 1084597 +
Ecl_003171 Ecl_003171-T1 0.951 18 125 Ecl_1605_22_3 1518858 1519307 -
Ecl_003204 Ecl_003204-T1 0.745 20 293 Ecl_1605_22_3 1676389 1677270 -
Ecl_003348 Ecl_003348-T1 0.593 21 268 Ecl_1605_22_3 2314843 2315744 -
Ecl_003380 Ecl_003380-T1 0.794 33 257 Ecl_1605_22_3 2477238 2478178 +
Ecl_003445 Ecl_003445-T1 0.637 18 130 Ecl_1605_22_3 2644115 2644507 +
Ecl_003552 Ecl_003552-T1 0.569 29 106 Ecl_1605_22_3 3009336 3009656 +
Ecl_003560 Ecl_003560-T1 0.553 21 316 Ecl_1605_22_3 3038964 3040180 -
Ecl_003859 Ecl_003859-T1 0.623 20 138 Ecl_1605_22_3 4404989 4405405 +
Ecl_003910 Ecl_003910-T1 0.696 19 221 Ecl_1605_22_3 4736226 4736891 +
Ecl_004144 Ecl_004144-T1 0.6 24 237 Ecl_1605_22_3 5599576 5600772 +
Ecl_004164 Ecl_004164-T1 0.571 18 190 Ecl_1605_22_3 5640348 5640920 +
Ecl_004221 Ecl_004221-T1 0.796 25 257 Ecl_1605_22_3 5865635 5866488 -
Ecl_004260 Ecl_004260-T1 0.627 24 279 Ecl_1605_22_3 5980839 5981678 -
Ecl_004458 Ecl_004458-T1 0.941 17 239 Ecl_1605_22_3 7154449 7155168 +
Ecl_004468 Ecl_004468-T1 0.872 17 95 Ecl_1605_22_3 7193286 7193639 +
Ecl_004489 Ecl_004489-T1 0.741 22 333 Ecl_1605_22_3 7355958 7357091 -
Ecl_004490 Ecl_004490-T1 0.572 19 56 Ecl_1605_22_3 7360058 7360287 +
Ecl_004529 Ecl_004529-T1 0.898 23 222 Ecl_1605_22_3 7575053 7575721 +
Ecl_004545 Ecl_004545-T1 0.555 19 193 Ecl_1605_22_4 282593 283174 -
Ecl_004559 Ecl_004559-T1 0.946 16 167 Ecl_1605_22_4 349080 349647 +
Ecl_004560 Ecl_004560-T1 0.964 19 110 Ecl_1605_22_4 404587 404975 +
Ecl_004589 Ecl_004589-T1 0.559 21 156 Ecl_1605_22_4 713679 714259 -
Ecl_004608 Ecl_004608-T1 0.682 18 226 Ecl_1605_22_4 800022 801035 -
Ecl_004683 Ecl_004683-T1 0.664 24 174 Ecl_1605_22_4 1586412 1587010 +
Ecl_004719 Ecl_004719-T1 0.969 20 179 Ecl_1605_22_4 1669848 1670483 -
Ecl_004732 Ecl_004732-T1 0.98 21 130 Ecl_1605_22_4 1822868 1823260 +
Ecl_004787 Ecl_004787-T1 0.928 20 241 Ecl_1605_22_4 2174270 2174995 +
Ecl_004829 Ecl_004829-T1 0.747 18 153 Ecl_1605_22_4 2286620 2287201 +
Ecl_004920 Ecl_004920-T1 0.609 19 188 Ecl_1605_22_4 2827956 2828522 -
Ecl_004961 Ecl_004961-T1 0.792 24 96 Ecl_1605_22_4 3003992 3004395 +
Ecl_004964 Ecl_004964-T1 0.889 16 105 Ecl_1605_22_4 3009404 3009796 +
Ecl_005004 Ecl_005004-T1 0.967 22 70 Ecl_1605_22_4 3276860 3277155 +
Ecl_005058 Ecl_005058-T1 0.859 19 236 Ecl_1605_22_4 3451737 3452585 +
Ecl_005079 Ecl_005079-T1 0.78 23 98 Ecl_1605_22_4 3499485 3499781 +
Ecl_005165 Ecl_005165-T1 0.951 21 231 Ecl_1605_22_4 3836188 3837001 -
Ecl_005215 Ecl_005215-T1 0.638 21 200 Ecl_1605_22_4 4063418 4064169 -
Ecl_005218 Ecl_005218-T1 0.717 19 194 Ecl_1605_22_4 4153217 4153880 +
Ecl_005219 Ecl_005219-T1 0.88 20 107 Ecl_1605_22_4 4155272 4155857 +
Ecl_005220 Ecl_005220-T1 0.631 19 269 Ecl_1605_22_4 4156229 4157193 -
Ecl_005328 Ecl_005328-T1 0.678 17 181 Ecl_1605_22_4 4662223 4662870 -
Ecl_005349 Ecl_005349-T1 0.884 23 98 Ecl_1605_22_4 4723992 4724429 +
Ecl_005417 Ecl_005417-T1 0.724 21 62 Ecl_1605_22_4 5060833 5061103 -
Ecl_005526 Ecl_005526-T1 0.821 21 74 Ecl_1605_22_4 5799929 5800271 -
Ecl_005675 Ecl_005675-T1 0.866 17 134 Ecl_1605_22_4 6335737 6336250 -
Ecl_005676 Ecl_005676-T1 0.919 19 127 Ecl_1605_22_4 6337302 6337685 +
Ecl_005677 Ecl_005677-T1 0.957 18 131 Ecl_1605_22_4 6338836 6339308 +
Ecl_005720 Ecl_005720-T1 0.95 20 111 Ecl_1605_22_4 6623202 6623537 -
Ecl_005768 Ecl_005768-T1 0.858 25 252 Ecl_1605_22_4 6950192 6951305 -
Ecl_005829 Ecl_005829-T1 0.86 17 212 Ecl_1605_22_4 7193770 7194408 -
Ecl_005839 Ecl_005839-T1 0.936 21 181 Ecl_1605_22_4 7208110 7208846 +
Ecl_005842 Ecl_005842-T1 0.868 18 102 Ecl_1605_22_4 7230510 7230976 -
Ecl_005868 Ecl_005868-T1 0.716 22 122 Ecl_1605_22_4 7413649 7414017 +
Ecl_006051 Ecl_006051-T1 0.681 19 131 Ecl_1605_22_5 760001 760396 -
Ecl_006053 Ecl_006053-T1 0.916 22 172 Ecl_1605_22_5 763164 763682 +
Ecl_006208 Ecl_006208-T1 0.895 22 181 Ecl_1605_22_5 1377245 1377790 +
Ecl_006237 Ecl_006237-T1 0.674 20 305 Ecl_1605_22_5 1545480 1546397 +
Ecl_006527 Ecl_006527-T1 0.72 19 274 Ecl_1605_22_5 3269724 3271269 +
Ecl_006557 Ecl_006557-T1 0.74 20 50 Ecl_1605_22_5 3365753 3368594 +
Ecl_006620 Ecl_006620-T1 0.64 17 219 Ecl_1605_22_5 3738529 3739416 +
Ecl_006636 Ecl_006636-T1 0.965 16 81 Ecl_1605_22_5 3778069 3778314 -
Ecl_006657 Ecl_006657-T1 0.898 18 89 Ecl_1605_22_5 3833157 3833498 -
Ecl_006661 Ecl_006661-T1 0.874 21 181 Ecl_1605_22_5 3838743 3839288 +
Ecl_006664 Ecl_006664-T1 0.658 16 87 Ecl_1605_22_5 3869936 3870268 +
Ecl_006703 Ecl_006703-T1 0.672 18 178 Ecl_1605_22_5 4173778 4174580 -
Ecl_006964 Ecl_006964-T1 0.869 33 124 Ecl_1605_22_5 6298992 6299656 -
Ecl_007038 Ecl_007038-T1 0.824 19 210 Ecl_1605_22_6 215592 216224 -
Ecl_007148 Ecl_007148-T1 0.938 18 81 Ecl_1605_22_6 781596 781936 -
Ecl_007159 Ecl_007159-T1 0.572 19 270 Ecl_1605_22_6 805641 806639 +
Ecl_007161 Ecl_007161-T1 0.801 29 269 Ecl_1605_22_6 808164 809224 -
Ecl_007261 Ecl_007261-T1 0.967 17 70 Ecl_1605_22_6 1306289 1306606 +
Ecl_007295 Ecl_007295-T1 0.969 17 102 Ecl_1605_22_6 1550500 1550808 +
Ecl_007356 Ecl_007356-T1 0.562 20 119 Ecl_1605_22_6 1731507 1731866 -
Ecl_007358 Ecl_007358-T1 0.804 17 199 Ecl_1605_22_6 1736916 1737515 -
Ecl_007429 Ecl_007429-T1 0.82 17 136 Ecl_1605_22_6 2209014 2209480 +
Ecl_007457 Ecl_007457-T1 0.812 20 262 Ecl_1605_22_6 2308317 2309105 +
Ecl_007527 Ecl_007527-T1 0.602 16 261 Ecl_1605_22_6 2936924 2938211 -
Ecl_007634 Ecl_007634-T1 0.9 21 156 Ecl_1605_22_6 3349202 3349749 +
Ecl_007646 Ecl_007646-T1 0.945 22 111 Ecl_1605_22_6 3451674 3452009 -
Ecl_007659 Ecl_007659-T1 0.666 21 79 Ecl_1605_22_6 3470705 3470944 -
Ecl_007682 Ecl_007682-T1 0.85 17 108 Ecl_1605_22_6 3515379 3515705 -
Ecl_007695 Ecl_007695-T1 0.698 22 211 Ecl_1605_22_6 3546892 3547527 +
Ecl_007744 Ecl_007744-T1 0.89 18 105 Ecl_1605_22_6 3666631 3667031 +
Ecl_007806 Ecl_007806-T1 0.708 21 315 Ecl_1605_22_6 3847002 3847949 -
Ecl_007876 Ecl_007876-T1 0.633 20 193 Ecl_1605_22_6 3989537 3990118 +
Ecl_007939 Ecl_007939-T1 0.887 19 208 Ecl_1605_22_6 4165250 4165876 -
Ecl_007941 Ecl_007941-T1 0.71 18 182 Ecl_1605_22_6 4168438 4168986 +
Ecl_008013 Ecl_008013-T1 0.883 21 143 Ecl_1605_22_6 4436003 4436434 +
Ecl_008039 Ecl_008039-T1 0.554 26 163 Ecl_1605_22_6 4471412 4471903 +
Ecl_008080 Ecl_008080-T1 0.869 20 151 Ecl_1605_22_6 4677322 4677841 +
Ecl_008088 Ecl_008088-T1 0.696 18 133 Ecl_1605_22_6 4706466 4706953 +
Ecl_008121 Ecl_008121-T1 0.624 20 280 Ecl_1605_22_6 4854489 4855562 +
Ecl_008134 Ecl_008134-T1 0.698 17 239 Ecl_1605_22_6 4905100 4905819 +
Ecl_008237 Ecl_008237-T1 0.942 23 161 Ecl_1605_22_6 5589279 5589896 +
Ecl_008276 Ecl_008276-T1 0.912 17 146 Ecl_1605_22_7 304223 304744 +
Ecl_008285 Ecl_008285-T1 0.805 19 210 Ecl_1605_22_7 330463 331511 +
Ecl_008309 Ecl_008309-T1 0.869 18 96 Ecl_1605_22_7 413054 413414 +
Ecl_008315 Ecl_008315-T1 0.946 18 189 Ecl_1605_22_7 427555 428264 +
Ecl_008316 Ecl_008316-T1 0.714 20 203 Ecl_1605_22_7 429429 430040 -
Ecl_008346 Ecl_008346-T1 0.792 17 123 Ecl_1605_22_7 600924 601399 -
Ecl_008424 Ecl_008424-T1 0.775 18 106 Ecl_1605_22_7 970341 970661 +
Ecl_008493 Ecl_008493-T1 0.793 18 170 Ecl_1605_22_7 1482890 1483515 -
Ecl_008610 Ecl_008610-T1 0.778 17 206 Ecl_1605_22_7 1877214 1878544 +
Ecl_008755 Ecl_008755-T1 0.912 20 100 Ecl_1605_22_7 2326681 2326983 +
Ecl_008800 Ecl_008800-T1 0.567 17 338 Ecl_1605_22_7 2487685 2488847 -
Ecl_008821 Ecl_008821-T1 0.751 20 270 Ecl_1605_22_7 2579474 2580286 +
